hospital,address,phone,city,pincode,,,
A.N.N HOSPITAL,"81-85,ANNAI THERASA STREET,INDIRA, NAGAR,VALASARAVAKKAM, CHENNAI, TAMILNADU, 600087",044-24869300(4 LINES,CHENNAI,,,,
A.P. HOSPITAL,"AJIT NAGAR EXTENSION, NEAR WATER TANK, AMRITSAR, PUNJAB, 143001",0183-2588450,AMRITSAR,,,,
A.P.SUPERSPECIALITY DENTAL HOSPITALS,"AVM TOWERS 1ST FLOOR, SIVAPARVATHI THEATRE KPHB MAIN ROAD KUKATPALLY, HYDERABAD, ANDHRA PRADESH, 500072",4023157744,HYDERABAD,,,,
AAKASH HOSPITAL,"90/43, MALVIYA NAGAR, NEW DELHI, NEW DELHI, DELHI, 110017",011-41830822/41830844,NEW DELHI,,,,
AAKASH HOSPITAL,"NO. 395, T.H. ROAD, THIRUVOTTIYUR, CHENNAI, TAMILNADU, 600019",044-25730099,CHENNAI,,,,
AAR PEE HOSPITAL,"1276-P, SEC-28, FARIDABAD, HARYANA, 121008",0129-4044276,FARIDABAD,,,,
AAROGYA HOSPITAL,"NH-1, SCTOR-6, VAISHALI, GHAZIABAD, GHAZIABAD, GHAZIABAD, UTTAR PRADESH, 201010",0120-3929800,GHAZIABAD,,,,
AARTI EYE HOSPITAL,"57-E, TAGORE NAGAR, LUDHIANA, LUDHIANA, PUNJAB, 141001",0161-2300689,LUDHIANA,,,,
AASHIRWAD HOSPITAL,"OM- SHRADDHA TOWER, PUNE LINK ROAD, TISGAON, KALYAN (E), THANE, MAHARASHTRA, 421306",0251 - 2358075 / 70 /74,THANE,,,,
AASHRAYA BONE & JOINT CARE HOSPITAL,"# 10/259, GANDHI ROAD, CHITTOOR, ANDHRA PRADESH, 517001",8572226269,CHITTOOR,,,,
AASTHA MULTISPECIALITY HOSPITAL,"PADRAUMA ROAD, DISTRICT KUSHINAGAR, KASYA, UTTAR PRADESH, 274402",05564-272985,KASYA,,,,
ABHAYA HOSPITAL,"17, DR M H HARI GOWDA ROAD, OPP. PARK AREA, WILSON GARDEN, BANGALORE, KARNATAKA, 560027",080-6563865/6564586,BANGALORE,,,,
ABHISHEK NURSING HOME,"JAGRUTI, CHS BHATWANTI, GHATKOPAR (W), MUMBAI, MAHARASHTRA, 400084",022-25106577,MUMBAI,,,,
ACE HEART AND VASCULAR INSTITUTE( A UNIT OF PRIME CARDIAC CARE PVT LTD),"SECTOR-69, MOHALI, MOHALI, PUNJAB, 160062","0172-2216868,7878",MOHALI,,,,
ADITTYA EYE CLINIC,"RONIK APPT. SAI NAGAR JUNCTION, M.G.ROAD, KANDIVALI(W), MUMBAI, MAHARASHTRA, 400067",022-28655588,MUMBAI,,,,
ADITYA CARE HOSPITAL,"PLOT NO.329/1929P, CHANDRA SEKHARPUR, NEAR MUNCIPAL KALYAN MANDAP, BHUBANESWAR, ORISSA, 751016",0674-2741120,BHUBANESWAR,,,,
ADITYA HOSPITAL,"7, BARNABY ROAD, KILPAUK, CHENNAI, TAMILNADU, 600010",044-26411450,CHENNAI,,,,
ADITYA HOSPITAL,"# 4-1-16, TILAK ROAD, ABIDS, HYDERABAD, ANDHRA PRADESH, 500001",040-24752988,HYDERABAD,,,,
ADITYA MEDICAL PARK(A UNIT OF ADITYA HEALTH RESEARCH FOUNDATION PVT. LTD.),"KADAMBAGACHI, BARASAT, 24 PARGANAS(N), KOLKATA, WEST BENGAL, 700055",033-25843500-25523256,KOLKATA,,,,
AGGARWAL EYE HOSPITAL,"102/5, KETAYUN MANSION, KOLDANGRI, SAHAJI RAJE MARG, VILE PARLE (E), MUMBAI, MAHARASHTRA, 400057",022-56960220,MUMBAI,,,,
AGRAWAL EYE INSTITUTE,"A-235, SHIVALIK, MALVIYA NAGAR, MALVIYA NAGAR, NEW DELHI, DELHI, 110017",011-26680397,NEW DELHI,,,,
AHOOJA EYE & DENTAL HOSPITAL,"560/1, DAYANAND COLONY, NEW RAILWAY ROAD, GURGAON, HARYANA, 122001",0124 - 2321234,GURGAON,,,,
AIMC BASSI HOSPITAL,"200 TAGOR NAGAR OPP POSTAL COLONY LUDHIANA , LUDHIANA, LUDHIANA, PUNJAB, 123456","0161-4633160,2303160",LUDHIANA,,,,
AKSHAYA CARE MULTI SPECIALTY HOSPITAL,"11-3-267/13, MADHURA NAGAR,SRINIVAS NAGAR, PARSIGUTTA, SECUNDERABAD, ANDHRA PRADESH, 500061",040-27650007,SECUNDERABAD,,,,
ALCHEMIST HOSPITAL,"SECTOR-21, PANCHKULA, HARYANA, 134112","0172-4500000, 2561534-36",PANCHKULA,,,,
ALLIANCE HOSPITAL,"NEAR ATMAVALLABH SOCIETY, TULINJ, VASAI, NALLASOPARA(E), THANE, MAHARASHTRA, 401209",0250-2442663/64,THANE,,,,
ALPS HOSPITAL LIMITED,"B-BLOCK, SUSHANT LOK, PHASE-I, GURGAON, GURGAON, HARYANA, 122001",0124-6623000,GURGAON,,,,
AMANDEEP HOSPITAL,"G.T. ROAD, MODEL TOWN, AMRITSAR, PUNJAB, 143001",0183-5067763,AMRITSAR,,,,
AMAR HOSPITAL,"SECTOR-70, MOHALI, MOHALI, PUNJAB, 160071",0172-6538164,MOHALI,,,,
AMAR LEELA HOSPITAL,"B-1/6, JANAKPURI, NEW DELHI, NEW DELHI, DELHI, 110058","011-25591345, 25537965-66",NEW DELHI,,,,
AMIT NURSING HOME,"A- 3A, MANAK VIHAR EXTN, TIHAR, NEW DELHI, NEW DELHI, DELHI, 110018",011 - 28122149,NEW DELHI,,,,
AMMAYI EYE CARE CENTRE,"NEW NO. 80, 7TH AVENUE, ASHOK NAGAR, CHENNAI, TAMILNADU, 600083","044-2489175, 24851560",CHENNAI,,,,
ANAND HOSPITAL,"201, KAMRAJ SALAI, MANALI, CHENNAI, TAMILNADU, 600068",044-25942900,CHENNAI,,,,
ANAND HOSPITAL,"BALAJI TOWERS, MAHATMA PHULE CHOWK, CHAKAN, PUNE, MAHARASHTRA, 410501",02135-327100,PUNE,,,,
ANAND HOSPITAL & EYE CENTRE,"21, BHARAT MATA LANE, JAMNA LAL BAJAJ MARG, C-SCHEME, JAIPUR, RAJASTHAN, 302002",0141 - 2371106,JAIPUR,,,,
